customer_id,activity_score,device_usage,engagement_level
CUST0000275,0.992,Mixed,Medium
CUST0001078,0.132,Web,Medium
CUST0001026,0.897,Mobile,Low
CUST0001359,0.295,Mobile,Low
CUST0002542,0.629,Mixed,Low
CUST0000166,0.878,Web,Medium
CUST0000117,0.093,Web,Low
CUST0002823,0.152,Mixed,High
CUST0002391,0.733,Web,High
CUST0001602,0.347,Mixed,Medium
CUST0000289,0.655,Mixed,Medium
CUST0000338,0.114,Mobile,High
CUST0001145,0.972,Mixed,Medium
CUST0000876,0.501,Mixed,High
CUST0000315,0.871,Mixed,Low
CUST0000504,0.675,Mixed,High
CUST0001291,0.952,Web,Medium
CUST0000140,0.571,Mobile,Medium
CUST0002533,0.306,Mobile,Medium
CUST0001145,0.614,Web,High
CUST0002037,0.997,Web,High
CUST0000257,0.815,Web,Medium
CUST0000795,0.455,Web,Medium
CUST0000247,0.817,Mobile,Low
CUST0000585,0.703,Mobile,Low
CUST0000449,0.939,Mobile,High
CUST0001585,0.365,Mobile,Low
CUST0002768,0.04,Web,Low
CUST0002929,0.086,Mixed,High
CUST0000967,0.767,Mixed,Low
CUST0001977,0.691,Web,High
CUST0000169,0.733,Web,Medium
CUST0002595,0.668,Mobile,Low
CUST0001328,0.457,Mixed,High
CUST0000682,0.068,Mobile,High
CUST0002504,0.836,Mixed,High
CUST0002800,0.181,Mobile,Low
CUST0002896,0.99,Mixed,High
CUST0001380,0.205,Mobile,High
CUST0001375,0.084,Mobile,Low
CUST0002652,0.376,Web,High
CUST0002339,0.325,Mobile,High
CUST0002321,0.977,Mixed,Low
CUST0000687,0.395,Mobile,Low
CUST0002334,0.047,Mobile,Medium
CUST0000756,0.987,Web,Medium
CUST0002057,0.786,Mixed,High
CUST0000791,0.998,Web,Medium
CUST0001164,0.318,Mobile,High
CUST0002385,0.118,Mixed,High
CUST0002734,0.398,Mobile,Medium
CUST0000673,0.14,Mobile,Low
CUST0001302,0.147,Mixed,Low
CUST0001034,0.903,Web,Medium
CUST0001422,0.994,Web,High
CUST0001675,0.994,Web,Low
CUST0001427,0.438,Mobile,High
CUST0001331,0.239,Mixed,Low
CUST0002331,0.172,Mixed,Medium
CUST0002556,0.382,Web,Medium
CUST0002807,0.599,Web,Medium
CUST0000907,0.744,Mobile,High
CUST0002198,0.516,Mixed,Medium
CUST0001472,0.843,Web,Medium
CUST0000935,0.92,Mobile,Medium
CUST0001926,0.886,Mobile,High
CUST0002962,0.369,Web,High
CUST0001439,0.951,Mixed,High
CUST0001854,0.923,Web,Low
CUST0002365,0.412,Mobile,High
CUST0002222,0.421,Mobile,Medium
