claim_id,policy_id,claim_amount,claim_date,claim_type,fraud_flag,settlement_amount
CLM0000001,POL0000379,3592.84,2019-02-02,Fire,0,50575.73
CLM0000002,POL0001322,1468.52,2021-10-26,Natural Disaster,0,47360.9
CLM0000003,POL0002186,36036.99,2018-07-21,Accident,0,62516.46
CLM0000004,POL0000125,15673.41,2019-05-29,Accident,0,4038.69
CLM0000005,POL0002982,80595.69,2018-01-07,Accident,0,56492.58
CLM0000006,POL0001426,53517.96,2020-08-03,Medical,0,59096.6
CLM0000007,POL0000480,82622.14,2019-07-16,Accident,0,5169.76
CLM0000008,POL0002618,18102.85,2019-04-22,Theft,0,43232.98
CLM0000009,POL0001386,62908.66,2018-06-20,Theft,0,19825.92
CLM0000010,POL0002114,58227.12,2023-03-18,Accident,0,64189.69
CLM0000011,POL0002900,34367.64,2018-08-06,Fire,0,4254.2
CLM0000012,POL0000432,51949.59,2024-11-13,Theft,0,11949.28
CLM0000013,POL0001959,59108.24,2018-04-15,Natural Disaster,1,8624.97
CLM0000014,POL0001113,89004.04,2023-07-06,Natural Disaster,0,5497.85
CLM0000015,POL0000601,6036.02,2018-03-10,Fire,0,48125.87
CLM0000016,POL0000856,82425.7,2023-04-21,Natural Disaster,0,69523.19
CLM0000017,POL0002054,98025.56,2021-12-14,Fire,0,41024.56
CLM0000018,POL0000158,73311.62,2023-04-14,Natural Disaster,0,17083.35
CLM0000019,POL0002378,73866.02,2019-05-06,Accident,0,27700.56
CLM0000020,POL0001127,22188.44,2021-12-14,Natural Disaster,0,29021.19
CLM0000021,POL0000223,52545.79,2024-09-21,Accident,0,36295.34
CLM0000022,POL0002450,70741.06,2022-09-04,Natural Disaster,0,33816.91
CLM0000023,POL0001707,60426.96,2022-01-20,Natural Disaster,0,53790.75
CLM0000024,POL0000545,38820.59,2022-08-01,Natural Disaster,0,27391.0
CLM0000025,POL0002557,94041.78,2018-08-30,Accident,0,53138.34
CLM0000026,POL0002232,51641.68,2019-08-25,Natural Disaster,0,43877.84
CLM0000027,POL0002963,97002.65,2020-08-15,Natural Disaster,1,4166.16
CLM0000028,POL0002629,56605.63,2023-10-27,Medical,1,73597.87
CLM0000029,POL0000538,79441.65,2022-01-12,Accident,0,14483.2
CLM0000030,POL0001437,74331.3,2019-07-24,Theft,0,36286.85
CLM0000031,POL0002566,66251.97,2022-03-13,Fire,0,75823.5
CLM0000032,POL0002816,1938.85,2018-07-12,Medical,0,20012.46
CLM0000033,POL0002343,8204.2,2023-07-23,Natural Disaster,0,2066.51
CLM0000034,POL0000260,58357.69,2022-11-08,Theft,0,39356.97
CLM0000035,POL0000826,91222.25,2023-09-13,Theft,0,18147.32
CLM0000036,POL0000316,60313.6,2019-10-02,Natural Disaster,1,46687.59
CLM0000037,POL0000746,23981.6,2021-03-31,Natural Disaster,0,65423.52
CLM0000038,POL0000719,32361.73,2024-01-05,Medical,0,41044.23
CLM0000039,POL0001101,62504.41,2019-06-13,Accident,0,51708.84
CLM0000040,POL0002728,59906.92,2024-12-30,Medical,0,53392.35
CLM0000041,POL0002902,95592.44,2020-07-24,Accident,0,65696.6
CLM0000042,POL0000461,53143.91,2022-01-10,Theft,0,55127.77
CLM0000043,POL0002855,35823.98,2024-06-15,Fire,0,78100.92
CLM0000044,POL0001105,52736.78,2024-02-26,Natural Disaster,0,36660.04
CLM0000045,POL0001703,78730.28,2019-08-20,Medical,0,4305.59
CLM0000046,POL0002841,54266.2,2018-06-30,Theft,0,31703.94
CLM0000047,POL0002978,32942.23,2021-10-27,Medical,0,67238.28
CLM0000048,POL0001407,34192.79,2021-11-08,Accident,0,10905.49
CLM0000049,POL0002197,75802.78,2019-06-15,Natural Disaster,0,58954.41
CLM0000050,POL0002816,7111.6,2020-02-06,Accident,0,42992.22
CLM0000051,POL0002393,27838.15,2022-01-12,Accident,0,72083.09
CLM0000052,POL0001814,15727.24,2018-08-14,Accident,0,58575.82
CLM0000053,POL0001815,94495.23,2021-09-07,Theft,0,52943.77
CLM0000054,POL0001742,9464.38,2019-09-17,Natural Disaster,0,70984.17
CLM0000055,POL0000974,75939.27,2022-07-12,Fire,0,72685.13
CLM0000056,POL0000922,63227.34,2019-12-16,Medical,0,30977.86
CLM0000057,POL0000030,63464.04,2020-08-18,Accident,1,74249.43
CLM0000058,POL0002778,76461.59,2021-03-15,Natural Disaster,0,4659.43
CLM0000059,POL0000982,40348.55,2020-01-05,Medical,0,61076.56
CLM0000060,POL0000231,40373.96,2018-02-04,Natural Disaster,0,27121.52
CLM0000061,POL0001186,29226.23,2018-11-02,Medical,0,39145.54
CLM0000062,POL0002777,59976.13,2020-08-25,Natural Disaster,0,66909.27
CLM0000063,POL0001252,93015.62,2020-02-22,Fire,0,51071.99
CLM0000064,POL0001245,92436.33,2021-07-16,Natural Disaster,0,36762.03
CLM0000065,POL0002794,70444.59,2018-01-06,Natural Disaster,0,13365.48
CLM0000066,POL0001097,90665.48,2019-01-03,Accident,0,75159.4
CLM0000067,POL0000399,96370.12,2018-11-18,Accident,0,26798.45
CLM0000068,POL0000095,79612.94,2019-10-16,Accident,0,8362.57
CLM0000069,POL0001964,41079.42,2023-06-10,Natural Disaster,0,45262.5
CLM0000070,POL0000475,48580.88,2020-12-19,Fire,1,32680.5
CLM0000071,POL0001930,93160.06,2023-03-25,Medical,1,47363.74
CLM0000072,POL0001779,67165.8,2021-09-04,Accident,0,18912.34
CLM0000073,POL0000775,82159.05,2023-08-30,Theft,1,30484.69
CLM0000074,POL0001148,12053.35,2022-04-14,Natural Disaster,0,77808.92
CLM0000075,POL0002848,19793.19,2024-05-28,Fire,0,74941.94
CLM0000076,POL0001524,34738.79,2021-06-14,Fire,1,69191.22
CLM0000077,POL0002992,19229.95,2024-03-16,Accident,0,62395.93
CLM0000078,POL0000621,90693.27,2019-09-24,Accident,0,12777.81
CLM0000079,POL0002908,22080.61,2021-01-15,Theft,0,37514.37
CLM0000080,POL0000964,55939.78,2019-10-12,Theft,0,58313.85
CLM0000081,POL0002861,9002.66,2020-01-12,Accident,0,21162.87
CLM0000082,POL0002143,15918.7,2022-05-09,Medical,0,2936.01
CLM0000083,POL0001501,25117.81,2018-06-17,Accident,0,33622.48
CLM0000084,POL0002081,98297.89,2019-04-03,Accident,0,34183.77
CLM0000085,POL0001327,79807.84,2021-10-05,Fire,1,5488.49
CLM0000086,POL0000122,67518.73,2020-10-22,Accident,0,25853.06
CLM0000087,POL0000218,91668.07,2019-09-09,Accident,0,73408.81
CLM0000088,POL0001077,95642.76,2019-04-08,Accident,0,20248.66
CLM0000089,POL0001183,45630.5,2022-04-06,Medical,0,45662.04
CLM0000090,POL0001695,33105.1,2021-08-13,Fire,0,39184.19
CLM0000091,POL0000795,31873.88,2018-05-04,Natural Disaster,0,69011.42
CLM0000092,POL0001625,4055.05,2019-01-11,Natural Disaster,0,52387.95
CLM0000093,POL0000176,28323.99,2021-04-13,Natural Disaster,0,12926.83
CLM0000094,POL0000292,35827.07,2021-07-09,Natural Disaster,0,11686.64
CLM0000095,POL0000491,4171.43,2018-03-25,Fire,0,44731.73
CLM0000096,POL0002809,88319.18,2023-06-24,Accident,0,4003.37
CLM0000097,POL0000634,84861.75,2024-08-27,Natural Disaster,0,31664.42
CLM0000098,POL0001261,25524.34,2022-12-14,Accident,0,32101.18
CLM0000099,POL0002173,80354.61,2018-09-15,Natural Disaster,0,15947.75
CLM0000100,POL0001891,79723.08,2023-08-13,Medical,0,24290.67
CLM0000101,POL0000604,33833.77,2019-11-22,Accident,0,26596.87
CLM0000102,POL0002986,69858.27,2018-01-16,Fire,0,1237.16
CLM0000103,POL0001129,29340.85,2024-11-28,Medical,0,64529.54
CLM0000104,POL0001066,7492.49,2019-07-10,Medical,0,76608.47
CLM0000105,POL0001665,50727.38,2020-05-23,Fire,0,23354.54
CLM0000106,POL0001484,44113.54,2020-04-23,Medical,1,9225.25
CLM0000107,POL0000491,14246.21,2023-03-07,Accident,0,76298.11
CLM0000108,POL0000565,49310.06,2024-09-11,Theft,0,59321.92
CLM0000109,POL0000168,94962.89,2021-08-10,Theft,0,71324.05
CLM0000110,POL0000759,73273.62,2018-09-16,Natural Disaster,1,29061.83
CLM0000111,POL0001198,74017.79,2021-03-04,Natural Disaster,0,38879.76
CLM0000112,POL0001905,75876.3,2018-12-09,Accident,0,74440.1
CLM0000113,POL0001174,74591.06,2019-01-26,Fire,0,36926.33
CLM0000114,POL0002297,2480.19,2021-06-18,Accident,0,53865.99
CLM0000115,POL0001651,92506.75,2024-10-27,Natural Disaster,0,56472.46
CLM0000116,POL0000180,83098.71,2023-07-04,Medical,0,67017.97
CLM0000117,POL0000028,27820.65,2018-11-27,Accident,0,78021.77
CLM0000118,POL0001845,55497.98,2020-05-31,Accident,0,26991.48
CLM0000119,POL0002165,61693.09,2021-10-21,Fire,0,20021.83
CLM0000120,POL0002751,13628.53,2024-06-29,Natural Disaster,0,6493.16
CLM0000121,POL0002705,25769.36,2022-08-10,Accident,0,68566.04
