customer_id,age,gender,location,income_band,risk_profile
CUST0000001,56,Male,Singapore,Middle,Medium Risk
CUST0000002,69,Male,"Johannesburg, South Africa",Low,Medium Risk
CUST0000003,46,Female,"Berlin, Germany",Low,Low Risk
CUST0000004,32,Male,"Toronto, Canada",Middle,Medium Risk
CUST0000005,60,Male,"Dubai, UAE",Middle,Low Risk
CUST0000006,25,Male,"London, UK",Middle,High Risk
CUST0000007,38,Female,"New York, USA",High,High Risk
CUST0000008,56,Female,"London, UK",Low,High Risk
CUST0000009,36,Male,"London, UK",High,Low Risk
CUST0000010,40,Female,Singapore,High,Low Risk
CUST0000011,28,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000012,28,Male,"New York, USA",Low,Medium Risk
CUST0000013,41,Male,"New York, USA",Middle,Medium Risk
CUST0000014,70,Female,"Berlin, Germany",Middle,Medium Risk
CUST0000015,53,Male,"Berlin, Germany",High,Medium Risk
CUST0000016,57,Female,"New York, USA",Middle,Low Risk
CUST0000017,41,Female,"Dubai, UAE",Middle,Low Risk
CUST0000018,20,Female,"Lagos, Nigeria",Low,High Risk
CUST0000019,39,Female,"Berlin, Germany",Low,High Risk
CUST0000020,70,Female,"Lagos, Nigeria",Middle,High Risk
CUST0000021,19,Female,Singapore,Low,High Risk
CUST0000022,41,Male,"Dubai, UAE",Middle,Low Risk
CUST0000023,61,Male,"New York, USA",Low,Low Risk
CUST0000024,47,Female,"Dubai, UAE",Low,Low Risk
CUST0000025,55,Female,"Berlin, Germany",Low,Medium Risk
CUST0000026,19,Female,"London, UK",Low,Medium Risk
CUST0000027,38,Male,Singapore,Middle,High Risk
CUST0000028,50,Female,"New York, USA",High,Medium Risk
CUST0000029,29,Male,"Toronto, Canada",Low,Low Risk
CUST0000030,39,Female,Singapore,Middle,High Risk
CUST0000031,61,Female,"Johannesburg, South Africa",Middle,High Risk
CUST0000032,42,Male,"Lagos, Nigeria",Low,Medium Risk
CUST0000033,66,Male,"Dubai, UAE",High,High Risk
CUST0000034,44,Female,"New York, USA",Low,Medium Risk
CUST0000035,59,Female,Singapore,Middle,Medium Risk
CUST0000036,45,Female,"Dubai, UAE",High,High Risk
CUST0000037,33,Male,"New York, USA",Middle,Medium Risk
CUST0000038,32,Male,"Berlin, Germany",Low,Medium Risk
CUST0000039,64,Male,Singapore,High,Medium Risk
CUST0000040,68,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000041,61,Male,Singapore,Middle,High Risk
CUST0000042,72,Male,"Berlin, Germany",Middle,Low Risk
CUST0000043,69,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000044,74,Female,"Dubai, UAE",High,Medium Risk
CUST0000045,20,Male,"Toronto, Canada",Low,Medium Risk
CUST0000046,54,Female,Singapore,Low,Medium Risk
CUST0000047,68,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000048,24,Male,Singapore,High,Medium Risk
CUST0000049,38,Female,"Berlin, Germany",Low,High Risk
CUST0000050,26,Male,"New York, USA",Low,High Risk
CUST0000051,56,Male,Singapore,Low,High Risk
CUST0000052,35,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000053,21,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000054,42,Male,"London, UK",Low,Medium Risk
CUST0000055,31,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000056,67,Male,"Dubai, UAE",Low,Low Risk
CUST0000057,26,Male,"Toronto, Canada",High,Low Risk
CUST0000058,43,Male,"London, UK",Middle,Low Risk
CUST0000059,70,Male,"Dubai, UAE",Middle,Low Risk
CUST0000060,19,Male,"Dubai, UAE",Middle,High Risk
CUST0000061,37,Female,"Dubai, UAE",Middle,Low Risk
CUST0000062,45,Female,"New York, USA",High,Low Risk
CUST0000063,64,Female,"Dubai, UAE",Low,Low Risk
CUST0000064,24,Male,"New York, USA",Middle,Medium Risk
CUST0000065,61,Male,"Dubai, UAE",High,Medium Risk
CUST0000066,25,Female,"Lagos, Nigeria",Middle,Medium Risk
CUST0000067,64,Female,"Johannesburg, South Africa",Low,High Risk
CUST0000068,52,Female,"London, UK",Middle,High Risk
CUST0000069,31,Male,"Lagos, Nigeria",High,Low Risk
CUST0000070,34,Female,"Dubai, UAE",Low,Medium Risk
CUST0000071,53,Female,"London, UK",High,High Risk
CUST0000072,67,Male,"London, UK",Low,Medium Risk
CUST0000073,57,Female,Singapore,Low,High Risk
CUST0000074,21,Male,"Toronto, Canada",Low,High Risk
CUST0000075,19,Male,"Lagos, Nigeria",Middle,Low Risk
CUST0000076,23,Male,"Toronto, Canada",High,Low Risk
CUST0000077,71,Female,"London, UK",High,High Risk
CUST0000078,59,Female,"New York, USA",High,Low Risk
CUST0000079,21,Male,"London, UK",Low,High Risk
CUST0000080,71,Female,"Toronto, Canada",Middle,High Risk
CUST0000081,46,Female,"Lagos, Nigeria",Low,Medium Risk
CUST0000082,35,Female,"Dubai, UAE",High,Low Risk
CUST0000083,43,Female,Singapore,Middle,Low Risk
CUST0000084,61,Male,Singapore,Middle,Low Risk
CUST0000085,51,Female,Singapore,Middle,Medium Risk
CUST0000086,27,Male,"Dubai, UAE",High,Medium Risk
CUST0000087,53,Male,Singapore,Middle,Medium Risk
CUST0000088,31,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000089,48,Male,"Dubai, UAE",Low,Low Risk
CUST0000090,65,Female,Singapore,Low,Low Risk
CUST0000091,32,Female,"Dubai, UAE",Middle,Medium Risk
CUST0000092,25,Male,"Toronto, Canada",Middle,Medium Risk
CUST0000093,31,Male,"Johannesburg, South Africa",Low,High Risk
CUST0000094,40,Male,"Johannesburg, South Africa",Low,Medium Risk
CUST0000095,74,Male,"Lagos, Nigeria",Low,High Risk
CUST0000096,57,Female,"Berlin, Germany",High,Low Risk
CUST0000097,38,Female,"New York, USA",High,Medium Risk
CUST0000098,33,Female,Singapore,Low,Low Risk
CUST0000099,62,Male,"New York, USA",Middle,Low Risk
CUST0000100,35,Male,"Dubai, UAE",Low,Low Risk
CUST0000101,64,Male,"New York, USA",High,Low Risk
CUST0000102,70,Female,"Lagos, Nigeria",Middle,Medium Risk
CUST0000103,41,Male,"Lagos, Nigeria",High,Low Risk
CUST0000104,43,Female,"London, UK",Middle,High Risk
CUST0000105,42,Male,"Johannesburg, South Africa",High,Medium Risk
CUST0000106,62,Female,Singapore,Middle,Low Risk
CUST0000107,58,Female,"London, UK",Middle,Medium Risk
CUST0000108,46,Male,"New York, USA",Middle,High Risk
CUST0000109,32,Male,"Berlin, Germany",Middle,Low Risk
CUST0000110,62,Female,"London, UK",High,High Risk
CUST0000111,18,Female,"London, UK",High,Low Risk
CUST0000112,42,Male,"Lagos, Nigeria",Middle,High Risk
CUST0000113,24,Male,"Berlin, Germany",Middle,Low Risk
CUST0000114,26,Female,"Dubai, UAE",High,Medium Risk
CUST0000115,41,Male,"New York, USA",Middle,Low Risk
CUST0000116,18,Female,"London, UK",Middle,Medium Risk
CUST0000117,61,Female,"Berlin, Germany",Middle,Low Risk
CUST0000118,25,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000119,41,Male,Singapore,Middle,High Risk
CUST0000120,28,Male,"Berlin, Germany",Low,High Risk
CUST0000121,68,Male,"Johannesburg, South Africa",Middle,High Risk
CUST0000122,34,Male,"New York, USA",High,Low Risk
CUST0000123,25,Female,"Berlin, Germany",Low,Low Risk
CUST0000124,52,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000125,52,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000126,50,Male,"Berlin, Germany",Middle,Medium Risk
