claim_id,anomaly_score,network_flag,fraud_reason
CLM0001131,0.31,1,Inflated Amount
CLM0001615,0.371,1,Duplicate Claim
CLM0000331,0.063,0,Duplicate Claim
CLM0001567,0.776,0,Fake Identity
CLM0002110,0.603,1,Fake Identity
CLM0002844,0.582,0,Inflated Amount
CLM0001318,0.658,1,Fake Identity
CLM0002864,0.664,0,Suspicious Pattern
CLM0000586,0.352,0,Duplicate Claim
CLM0001386,0.274,1,Duplicate Claim
CLM0002191,0.298,1,Inflated Amount
CLM0002305,0.811,0,Suspicious Pattern
CLM0000972,0.169,0,Inflated Amount
CLM0002741,0.487,0,Inflated Amount
CLM0001780,0.626,1,Duplicate Claim
CLM0002910,0.516,1,Inflated Amount
CLM0002164,0.553,0,Suspicious Pattern
CLM0001605,0.839,1,Inflated Amount
CLM0001881,0.329,1,Fake Identity
CLM0000316,0.346,0,Fake Identity
CLM0001560,0.166,1,Inflated Amount
CLM0000983,0.75,1,Duplicate Claim
CLM0000159,0.207,1,Duplicate Claim
CLM0000813,0.52,0,Duplicate Claim
CLM0000411,0.854,1,Inflated Amount
CLM0000531,0.098,0,Suspicious Pattern
CLM0000012,0.169,1,Inflated Amount
CLM0001367,0.183,1,Suspicious Pattern
CLM0000818,0.134,1,Inflated Amount
CLM0000594,0.945,0,Fake Identity
CLM0001932,0.74,0,Inflated Amount
CLM0002873,0.455,1,Suspicious Pattern
CLM0002067,0.298,1,Fake Identity
CLM0000017,0.115,0,Inflated Amount
CLM0001979,0.024,1,Inflated Amount
CLM0002121,0.65,0,Duplicate Claim
CLM0000566,0.505,0,Fake Identity
CLM0001214,0.592,1,Fake Identity
CLM0001670,0.167,1,Inflated Amount
CLM0001940,0.589,1,Suspicious Pattern
CLM0002706,0.204,0,Suspicious Pattern
CLM0001660,0.041,1,Fake Identity
CLM0001622,0.872,1,Fake Identity
CLM0001719,0.827,0,Inflated Amount
CLM0002514,0.589,0,Suspicious Pattern
CLM0001300,0.915,1,Inflated Amount
