location,crime_rate,flood_risk,weather_severity_index
"Berlin, Germany",0.459,0.172,0.776
"Berlin, Germany",0.77,0.215,0.394
"Dubai, UAE",0.128,0.538,0.117
"Berlin, Germany",0.655,0.291,0.84
"New York, USA",0.501,0.46,0.934
"Dubai, UAE",0.732,0.426,0.617
"Lagos, Nigeria",0.309,0.556,0.208
"London, UK",0.806,0.367,0.242
"New York, USA",0.337,0.468,0.871
"Dubai, UAE",0.861,0.566,0.697
"Dubai, UAE",0.612,0.575,0.321
"New York, USA",0.258,0.474,0.268
Singapore,0.721,0.671,0.363
"Berlin, Germany",0.528,0.412,0.377
"Dubai, UAE",0.426,0.73,0.836
"New York, USA",0.478,0.888,0.907
Singapore,0.419,0.707,0.327
"Johannesburg, South Africa",0.666,0.724,0.273
"London, UK",0.307,0.798,0.598
"Lagos, Nigeria",0.51,0.183,0.611
"Berlin, Germany",0.704,0.549,0.304
"Berlin, Germany",0.215,0.638,0.836
"Johannesburg, South Africa",0.333,0.832,0.928
"London, UK",0.271,0.767,0.173
"New York, USA",0.558,0.411,0.783
Singapore,0.43,0.35,0.551
"London, UK",0.359,0.337,0.276
"Toronto, Canada",0.386,0.3,0.486
"Lagos, Nigeria",0.476,0.347,0.556
"Johannesburg, South Africa",0.435,0.687,0.627
"Lagos, Nigeria",0.665,0.192,0.13
"London, UK",0.654,0.688,0.727
Singapore,0.121,0.255,0.558
"Dubai, UAE",0.668,0.599,0.676
"Dubai, UAE",0.278,0.577,0.865
"Lagos, Nigeria",0.436,0.574,0.609
"Lagos, Nigeria",0.278,0.349,0.906
"Dubai, UAE",0.195,0.22,0.814
"New York, USA",0.567,0.734,0.667
"Berlin, Germany",0.861,0.293,0.623
Singapore,0.398,0.164,0.489
"Berlin, Germany",0.643,0.227,0.892
"Berlin, Germany",0.462,0.191,0.472
"London, UK",0.245,0.672,0.119
"London, UK",0.837,0.696,0.13
"Berlin, Germany",0.46,0.37,0.933
"Johannesburg, South Africa",0.107,0.712,0.207
Singapore,0.465,0.771,0.808
"Johannesburg, South Africa",0.105,0.482,0.865
"Toronto, Canada",0.735,0.762,0.596
"Toronto, Canada",0.394,0.503,0.856
"New York, USA",0.592,0.747,0.196
"London, UK",0.713,0.453,0.999
"Berlin, Germany",0.122,0.147,0.638
"Toronto, Canada",0.514,0.276,0.868
"Berlin, Germany",0.61,0.343,0.346
"Lagos, Nigeria",0.477,0.452,0.38
"Toronto, Canada",0.345,0.48,0.238
"Berlin, Germany",0.471,0.88,0.745
"London, UK",0.415,0.48,0.121
"Johannesburg, South Africa",0.589,0.397,0.197
"London, UK",0.475,0.389,0.256
"Lagos, Nigeria",0.204,0.809,0.722
"Lagos, Nigeria",0.167,0.408,0.689
"New York, USA",0.231,0.728,0.659
"Berlin, Germany",0.152,0.299,0.471
Singapore,0.303,0.443,0.941
"Toronto, Canada",0.156,0.559,0.967
"Johannesburg, South Africa",0.583,0.552,0.433
"Toronto, Canada",0.456,0.564,0.574
Singapore,0.304,0.693,0.725
"Dubai, UAE",0.11,0.508,0.341
"Dubai, UAE",0.217,0.247,0.787
"Toronto, Canada",0.633,0.565,0.793
"New York, USA",0.3,0.338,0.551
"Berlin, Germany",0.366,0.34,0.474
"Lagos, Nigeria",0.161,0.203,0.677
"New York, USA",0.539,0.828,0.115
"Lagos, Nigeria",0.743,0.152,0.87
Singapore,0.383,0.13,0.878
"New York, USA",0.192,0.68,0.555
"New York, USA",0.863,0.664,0.115
"Toronto, Canada",0.509,0.38,0.434
"Johannesburg, South Africa",0.172,0.692,0.51
"New York, USA",0.498,0.49,0.856
"Toronto, Canada",0.136,0.683,0.131
"Johannesburg, South Africa",0.144,0.537,0.557
"Dubai, UAE",0.355,0.686,0.514
"Toronto, Canada",0.642,0.718,0.3
"Johannesburg, South Africa",0.664,0.327,0.319
