date,inflation_rate,unemployment_rate,interest_rate
2018-01-01,12.6,6.86,8.17
2018-01-02,10.6,3.61,0.5
2018-01-03,11.09,2.05,9.68
2018-01-04,12.87,7.36,4.62
2018-01-05,7.0,6.98,3.67
2018-01-06,3.35,11.26,6.43
2018-01-07,6.28,2.36,8.85
2018-01-08,14.71,3.49,3.85
2018-01-09,7.28,3.98,1.17
2018-01-10,13.93,7.47,3.86
2018-01-11,10.84,4.85,0.55
2018-01-12,11.33,4.06,2.26
2018-01-13,3.66,7.14,0.99
2018-01-14,6.16,2.41,4.18
2018-01-15,11.25,11.75,1.07
2018-01-16,10.18,10.61,9.85
2018-01-17,13.08,4.72,7.93
2018-01-18,3.94,5.36,4.49
2018-01-19,11.48,4.46,8.01
2018-01-20,1.55,11.28,4.46
2018-01-21,5.2,8.53,6.65
2018-01-22,9.83,7.21,8.3
2018-01-23,14.72,7.09,7.0
2018-01-24,14.85,3.66,1.3
2018-01-25,7.15,11.63,0.91
2018-01-26,11.71,11.15,5.91
2018-01-27,9.41,11.52,2.37
2018-01-28,10.93,4.91,9.85
2018-01-29,11.25,6.77,0.65
2018-01-30,8.66,7.19,7.61
2018-01-31,12.4,6.9,0.9
2018-02-01,9.18,2.19,6.3
2018-02-02,2.41,10.33,4.49
2018-02-03,14.85,9.47,6.51
2018-02-04,5.25,6.75,7.74
2018-02-05,14.5,4.67,0.82
2018-02-06,5.1,8.35,5.45
2018-02-07,12.94,3.38,9.45
2018-02-08,10.65,11.97,2.57
2018-02-09,6.0,3.25,1.24
2018-02-10,14.13,2.58,7.82
2018-02-11,9.16,8.12,7.54
2018-02-12,12.62,6.63,4.21
2018-02-13,12.16,9.19,8.39
2018-02-14,1.65,3.28,5.67
2018-02-15,4.76,5.64,5.02
2018-02-16,7.61,7.01,8.31
2018-02-17,14.06,6.47,1.43
2018-02-18,1.87,7.83,2.63
2018-02-19,3.6,3.02,4.72
2018-02-20,9.74,7.04,1.31
2018-02-21,10.14,7.55,9.96
2018-02-22,3.3,10.81,3.48
2018-02-23,14.28,7.71,9.5
2018-02-24,3.48,7.47,5.01
2018-02-25,3.55,10.12,9.28
2018-02-26,9.9,2.65,4.68
2018-02-27,6.9,8.48,8.24
2018-02-28,1.36,10.12,7.64
2018-03-01,13.89,2.95,9.5
2018-03-02,2.05,10.12,6.56
2018-03-03,3.19,9.87,2.66
2018-03-04,13.56,2.01,5.65
2018-03-05,4.85,4.46,1.89
2018-03-06,12.45,3.51,3.68
2018-03-07,3.39,7.11,8.0
