payment_id,policy_id,premium_paid,payment_date,payment_status
PAY0000001,POL0000413,2490.73,2020-09-24,Paid
PAY0000002,POL0002652,3897.86,2021-05-12,Paid
PAY0000003,POL0000960,2802.76,2019-08-18,Paid
PAY0000004,POL0000186,4765.1,2020-04-08,Paid
PAY0000005,POL0001577,462.9,2022-09-26,Paid
PAY0000006,POL0000051,1597.55,2018-03-09,Paid
PAY0000007,POL0001170,1259.45,2019-07-03,Paid
PAY0000008,POL0000355,3884.59,2020-08-05,Pending
PAY0000009,POL0002411,2714.21,2019-03-10,Pending
PAY0000010,POL0002584,864.05,2022-08-02,Paid
PAY0000011,POL0001308,1570.85,2023-09-04,Paid
PAY0000012,POL0000036,2708.76,2020-04-25,Paid
PAY0000013,POL0000277,4981.42,2022-06-24,Paid
PAY0000014,POL0001720,1948.6,2021-04-14,Failed
PAY0000015,POL0001349,952.77,2020-07-19,Paid
PAY0000016,POL0002230,2585.92,2019-01-23,Paid
PAY0000017,POL0002519,1688.89,2021-07-29,Paid
PAY0000018,POL0001836,2916.64,2023-04-12,Pending
PAY0000019,POL0002465,2440.21,2023-06-19,Paid
PAY0000020,POL0000889,3509.55,2018-07-22,Paid
PAY0000021,POL0000404,4588.6,2020-03-22,Paid
PAY0000022,POL0000514,1162.47,2020-08-31,Paid
PAY0000023,POL0002614,4141.66,2020-09-20,Failed
PAY0000024,POL0002489,4756.48,2022-08-10,Paid
PAY0000025,POL0001270,1993.33,2019-06-26,Paid
PAY0000026,POL0001070,745.58,2019-12-24,Failed
PAY0000027,POL0002123,4145.17,2024-04-22,Failed
PAY0000028,POL0001173,3565.26,2023-04-11,Paid
PAY0000029,POL0002454,1221.02,2021-04-05,Paid
PAY0000030,POL0002051,2337.07,2021-06-09,Failed
PAY0000031,POL0001033,2974.36,2021-12-15,Pending
PAY0000032,POL0000514,1015.3,2021-08-20,Pending
PAY0000033,POL0002588,3631.58,2020-02-23,Paid
PAY0000034,POL0000290,3511.44,2022-09-15,Pending
PAY0000035,POL0002229,4458.21,2021-11-20,Paid
PAY0000036,POL0002314,2922.91,2024-09-02,Paid
PAY0000037,POL0000083,2956.7,2018-12-12,Paid
PAY0000038,POL0001885,3173.06,2022-06-15,Paid
PAY0000039,POL0002306,1514.16,2021-03-06,Paid
PAY0000040,POL0001584,3841.31,2021-05-07,Paid
PAY0000041,POL0001670,3380.0,2018-03-24,Paid
PAY0000042,POL0001836,4227.9,2023-10-17,Paid
PAY0000043,POL0000950,3889.21,2023-11-29,Failed
PAY0000044,POL0002247,3265.15,2023-10-16,Paid
PAY0000045,POL0001316,972.28,2021-11-10,Paid
PAY0000046,POL0000648,4611.91,2020-09-15,Paid
PAY0000047,POL0000266,1962.62,2022-03-23,Pending
PAY0000048,POL0002918,4828.63,2023-11-21,Paid
PAY0000049,POL0002779,2128.98,2023-04-20,Failed
PAY0000050,POL0000861,900.5,2022-01-12,Paid
PAY0000051,POL0000019,4447.23,2023-07-19,Paid
PAY0000052,POL0000371,4016.28,2024-10-13,Pending
PAY0000053,POL0001851,3974.22,2020-08-16,Paid
PAY0000054,POL0000619,629.17,2018-07-08,Paid
PAY0000055,POL0000643,4420.54,2018-05-26,Paid
PAY0000056,POL0001546,3062.72,2023-12-13,Failed
PAY0000057,POL0002427,2457.71,2018-01-24,Pending
PAY0000058,POL0001735,4583.22,2020-11-23,Paid
PAY0000059,POL0000817,3397.0,2021-03-12,Paid
PAY0000060,POL0002872,838.55,2021-10-28,Pending
PAY0000061,POL0002138,2693.78,2020-08-07,Paid
PAY0000062,POL0002192,3255.76,2021-10-31,Paid
PAY0000063,POL0001831,4513.04,2022-04-21,Paid
PAY0000064,POL0002669,1543.49,2019-05-26,Paid
PAY0000065,POL0000864,4012.32,2022-12-07,Pending
PAY0000066,POL0000204,4039.1,2019-02-06,Paid
PAY0000067,POL0001931,814.64,2022-03-06,Paid
PAY0000068,POL0001529,282.72,2018-09-17,Paid
PAY0000069,POL0002913,2990.77,2020-03-04,Pending
PAY0000070,POL0002201,3989.5,2021-07-08,Paid
PAY0000071,POL0000529,2861.27,2019-01-14,Paid
PAY0000072,POL0000339,4104.07,2024-08-13,Paid
PAY0000073,POL0002797,3187.06,2020-01-15,Paid
PAY0000074,POL0001975,3335.8,2024-03-13,Paid
PAY0000075,POL0001533,335.14,2018-03-06,Paid
PAY0000076,POL0001080,625.27,2023-09-05,Pending
PAY0000077,POL0000556,3680.14,2022-04-06,Paid
PAY0000078,POL0002801,3861.65,2022-05-31,Paid
PAY0000079,POL0000931,2802.45,2021-05-20,Paid
PAY0000080,POL0002599,3032.79,2019-08-29,Paid
PAY0000081,POL0001154,3148.96,2023-10-03,Pending
PAY0000082,POL0000098,703.96,2021-04-10,Paid
PAY0000083,POL0000793,3405.96,2021-04-04,Paid
PAY0000084,POL0002470,2496.66,2024-02-29,Paid
PAY0000085,POL0000080,3092.11,2024-08-02,Paid
PAY0000086,POL0000288,2903.08,2023-07-08,Pending
PAY0000087,POL0002895,3862.4,2020-07-15,Paid
PAY0000088,POL0001770,1729.13,2023-03-03,Paid
PAY0000089,POL0002217,1992.93,2021-02-19,Paid
PAY0000090,POL0000071,2079.71,2020-07-21,Paid
PAY0000091,POL0000263,3859.79,2020-04-14,Failed
PAY0000092,POL0000712,2269.34,2018-02-20,Pending
PAY0000093,POL0002771,1049.96,2018-12-10,Paid
PAY0000094,POL0002578,4918.6,2021-04-01,Paid
PAY0000095,POL0000785,2568.23,2022-04-28,Paid
PAY0000096,POL0000210,724.39,2021-05-15,Paid
PAY0000097,POL0002165,3417.32,2023-06-14,Paid
PAY0000098,POL0002664,3747.98,2024-12-31,Failed
PAY0000099,POL0000315,2601.07,2021-08-29,Paid
PAY0000100,POL0002059,3302.99,2022-01-16,Paid
PAY0000101,POL0001075,1028.84,2020-08-24,Paid
PAY0000102,POL0001031,1966.03,2020-09-10,Paid
PAY0000103,POL0001947,976.78,2019-12-16,Paid
PAY0000104,POL0000955,2058.73,2021-03-24,Paid
PAY0000105,POL0001573,2901.44,2024-05-30,Failed
PAY0000106,POL0000261,2324.19,2022-01-24,Paid
PAY0000107,POL0001536,3047.43,2023-03-03,Paid
PAY0000108,POL0000200,2608.44,2020-03-11,Paid
PAY0000109,POL0002378,1725.51,2021-03-20,Paid
PAY0000110,POL0000090,888.4,2023-06-17,Paid
PAY0000111,POL0000591,1412.83,2020-10-25,Pending
PAY0000112,POL0002103,1163.42,2018-04-02,Paid
PAY0000113,POL0001936,3595.63,2020-12-04,Paid
PAY0000114,POL0001245,4135.84,2022-10-24,Paid
PAY0000115,POL0000092,3657.87,2023-01-08,Paid
PAY0000116,POL0002104,3289.92,2024-10-15,Paid
PAY0000117,POL0001966,1677.69,2024-11-19,Pending
PAY0000118,POL0000061,3612.73,2019-09-11,Paid
PAY0000119,POL0001896,3104.4,2022-03-27,Paid
PAY0000120,POL0002165,425.09,2021-03-13,Pending
PAY0000121,POL0000590,4556.54,2022-12-26,Paid
PAY0000122,POL0000236,583.78,2019-03-20,Failed
PAY0000123,POL0002081,2613.0,2018-01-22,Paid
PAY0000124,POL0000786,2662.73,2020-01-02,Paid
PAY0000125,POL0001098,4217.63,2022-09-01,Paid
PAY0000126,POL0000021,4582.72,2018-06-01,Failed
PAY0000127,POL0001889,4710.44,2021-03-26,Pending
PAY0000128,POL0001178,2934.43,2020-02-27,Paid
PAY0000129,POL0001278,3459.4,2021-09-20,Paid
PAY0000130,POL0001231,624.9,2024-06-06,Paid
PAY0000131,POL0002966,2542.0,2021-01-08,Paid
PAY0000132,POL0000302,4509.71,2024-02-01,Paid
PAY0000133,POL0002345,2387.35,2019-09-01,Paid
PAY0000134,POL0000773,534.05,2020-05-22,Paid
PAY0000135,POL0001068,1163.08,2019-07-30,Paid
PAY0000136,POL0000419,2261.63,2021-09-02,Paid
PAY0000137,POL0001541,1340.14,2023-12-03,Paid
PAY0000138,POL0000062,2083.0,2023-07-30,Paid
PAY0000139,POL0000858,1798.22,2020-12-28,Paid
PAY0000140,POL0000538,1730.86,2021-08-04,Paid
PAY0000141,POL0001341,637.59,2018-07-10,Paid
PAY0000142,POL0001459,4437.03,2024-03-14,Paid
PAY0000143,POL0001861,3524.99,2021-05-08,Paid
PAY0000144,POL0000696,3192.23,2021-12-23,Paid
PAY0000145,POL0000818,3111.05,2024-06-27,Failed
PAY0000146,POL0001405,2103.21,2018-09-06,Paid
PAY0000147,POL0000920,4151.91,2024-03-16,Paid
PAY0000148,POL0000975,4664.19,2024-05-10,Paid
PAY0000149,POL0000542,226.96,2018-03-06,Failed
PAY0000150,POL0001712,580.15,2019-01-30,Failed
PAY0000151,POL0000790,3439.88,2020-08-03,Pending
PAY0000152,POL0002081,1333.12,2019-03-11,Paid
PAY0000153,POL0000581,4576.18,2024-09-06,Paid
PAY0000154,POL0002042,3403.58,2018-05-14,Paid
PAY0000155,POL0000352,1967.8,2024-06-21,Paid
PAY0000156,POL0002303,2193.36,2021-07-06,Paid
PAY0000157,POL0001074,3516.24,2018-03-16,Paid
PAY0000158,POL0002032,876.63,2021-09-09,Failed
PAY0000159,POL0001278,4440.38,2020-07-19,Paid
PAY0000160,POL0001700,222.9,2018-11-25,Paid
PAY0000161,POL0000273,4898.95,2021-06-02,Paid
PAY0000162,POL0002741,1004.7,2021-11-18,Paid
PAY0000163,POL0001883,3762.13,2021-05-01,Paid
PAY0000164,POL0000250,391.64,2019-04-30,Paid
PAY0000165,POL0001261,2270.86,2023-05-21,Pending
PAY0000166,POL0002952,3225.51,2021-01-04,Failed
PAY0000167,POL0000232,537.09,2021-02-05,Paid
PAY0000168,POL0002476,2327.81,2018-05-21,Failed
PAY0000169,POL0000957,1655.05,2018-04-04,Pending
PAY0000170,POL0000634,2591.57,2020-11-06,Paid
PAY0000171,POL0000242,2621.97,2019-03-09,Paid
PAY0000172,POL0002182,3969.11,2023-03-27,Pending
PAY0000173,POL0001095,792.82,2021-03-15,Paid
PAY0000174,POL0001024,597.05,2018-04-27,Paid
PAY0000175,POL0001303,2129.07,2024-10-10,Paid
PAY0000176,POL0000219,4460.1,2018-06-06,Paid
PAY0000177,POL0000697,4305.29,2020-10-21,Paid
PAY0000178,POL0000307,2887.97,2018-04-27,Paid
PAY0000179,POL0002024,4466.11,2020-08-28,Paid
PAY0000180,POL0000314,4065.65,2021-04-09,Paid
PAY0000181,POL0002971,1534.11,2019-02-19,Paid
PAY0000182,POL0001753,1016.51,2021-10-22,Failed
PAY0000183,POL0001817,1645.55,2021-10-28,Paid
PAY0000184,POL0001429,1290.17,2020-08-04,Paid
PAY0000185,POL0001403,3189.05,2022-11-22,Paid
PAY0000186,POL0000281,3007.52,2019-06-09,Paid
PAY0000187,POL0001661,3072.5,2021-05-03,Paid
PAY0000188,POL0000035,1108.66,2018-11-14,Paid
PAY0000189,POL0002118,4000.94,2023-03-08,Paid
PAY0000190,POL0000360,2281.41,2024-04-07,Paid
PAY0000191,POL0001714,2467.77,2018-01-10,Paid
PAY0000192,POL0001935,4985.42,2018-04-30,Paid
PAY0000193,POL0000408,1554.9,2021-12-31,Paid
PAY0000194,POL0001585,2091.86,2019-08-10,Paid
PAY0000195,POL0000580,3447.02,2021-05-13,Paid
PAY0000196,POL0002567,4425.98,2024-03-06,Paid
PAY0000197,POL0000606,808.55,2019-12-22,Paid
PAY0000198,POL0001408,3728.22,2022-07-21,Paid
PAY0000199,POL0002129,4607.75,2021-05-28,Paid
PAY0000200,POL0002298,2230.04,2019-04-23,Paid
PAY0000201,POL0002093,1576.29,2019-07-30,Paid
PAY0000202,POL0000137,3453.14,2020-01-26,Paid
PAY0000203,POL0002871,1381.15,2023-11-07,Paid
PAY0000204,POL0000979,2044.59,2021-08-20,Pending
PAY0000205,POL0000820,4505.18,2024-06-10,Paid
PAY0000206,POL0001485,3033.6,2018-07-28,Paid
PAY0000207,POL0002415,655.89,2020-04-26,Paid
PAY0000208,POL0002277,1782.55,2021-04-30,Paid
PAY0000209,POL0002231,3210.87,2021-01-18,Paid
PAY0000210,POL0000467,2511.19,2021-10-26,Paid
PAY0000211,POL0000838,3369.63,2022-01-19,Paid
PAY0000212,POL0002252,3854.92,2019-03-12,Paid
PAY0000213,POL0000975,2506.95,2019-11-27,Paid
PAY0000214,POL0000623,4937.37,2020-09-08,Paid
PAY0000215,POL0001923,4590.43,2019-10-15,Paid
PAY0000216,POL0001092,487.56,2018-09-26,Paid
PAY0000217,POL0002917,1478.87,2018-10-19,Paid
PAY0000218,POL0002598,1642.61,2024-04-19,Paid
PAY0000219,POL0001734,1084.59,2021-11-24,Paid
PAY0000220,POL0002652,1697.68,2019-05-20,Paid
PAY0000221,POL0001800,2239.14,2018-09-26,Paid
PAY0000222,POL0002803,447.44,2024-09-09,Paid
PAY0000223,POL0002676,811.04,2024-02-10,Paid
PAY0000224,POL0001016,661.98,2022-12-04,Paid
PAY0000225,POL0002143,422.32,2023-06-20,Pending
PAY0000226,POL0001749,2511.19,2021-03-18,Paid
PAY0000227,POL0000685,1802.25,2024-06-10,Paid
PAY0000228,POL0002845,4690.15,2022-05-01,Paid
PAY0000229,POL0001457,693.25,2021-04-02,Pending
PAY0000230,POL0000369,4644.97,2021-09-26,Paid
PAY0000231,POL0002327,615.42,2024-11-13,Paid
PAY0000232,POL0000351,3172.24,2024-08-30,Paid
PAY0000233,POL0001250,1389.11,2024-10-01,Paid
PAY0000234,POL0001952,4168.67,2021-10-25,Paid
PAY0000235,POL0002454,495.08,2022-08-01,Paid
