policy_id,customer_id,policy_type,premium_amount,coverage_amount,start_date,end_date,underwriting_score
POL0000001,CUST0002092,Property,4067.29,410873.79,2020-07-20,2021-02-18,0.688
POL0000002,CUST0001907,Property,975.76,457300.76,2019-01-24,2021-06-26,0.158
POL0000003,CUST0001722,Property,1605.61,109085.39,2019-10-31,2021-08-17,0.133
POL0000004,CUST0001068,Auto,3461.64,276045.47,2024-03-21,2024-12-12,0.181
POL0000005,CUST0002210,Property,1714.35,322080.5,2022-07-02,2023-07-26,0.17
POL0000006,CUST0001817,Health,4004.01,265695.46,2019-08-02,2021-05-04,0.538
POL0000007,CUST0000253,Life,826.18,222697.43,2018-08-16,2019-05-03,0.272
POL0000008,CUST0000132,Property,3860.89,104068.0,2020-02-17,2021-07-02,0.788
POL0000009,CUST0001908,Health,528.09,249227.49,2024-09-08,2026-04-25,0.457
POL0000010,CUST0001911,Property,260.44,206595.27,2020-12-13,2021-12-17,0.656
POL0000011,CUST0002522,Health,4511.47,399826.05,2022-08-12,2023-09-28,0.622
POL0000012,CUST0001680,Auto,2990.43,384166.14,2018-12-08,2020-07-01,0.356
POL0000013,CUST0001133,Life,1888.77,75659.35,2023-10-10,2024-09-22,0.295
POL0000014,CUST0002754,Life,1316.45,53374.34,2024-01-12,2025-09-25,0.374
POL0000015,CUST0001059,Auto,3161.05,454995.43,2018-09-07,2021-04-06,0.737
POL0000016,CUST0001926,Health,2643.21,272399.11,2019-02-07,2020-01-20,0.569
POL0000017,CUST0002323,Property,4959.67,430322.46,2018-11-18,2020-01-02,0.303
POL0000018,CUST0000187,Health,4919.44,38494.05,2019-04-12,2020-03-06,0.754
POL0000019,CUST0000949,Life,3248.12,267992.65,2024-11-20,2027-03-13,0.144
POL0000020,CUST0002291,Auto,2325.78,274318.99,2022-08-16,2024-08-14,0.659
POL0000021,CUST0000264,Auto,2557.48,431744.0,2018-12-06,2020-06-23,0.451
POL0000022,CUST0001998,Health,3475.9,57828.9,2024-11-07,2026-05-21,0.685
POL0000023,CUST0000522,Health,687.56,127818.33,2022-12-02,2025-08-16,0.842
